PH1,ADWIN1,DDM3,SeqDrift21
PH11,ADWIN1,DDM6,SeqDrift26
PH11,ADWIN3,DDM6,SeqDrift28
PH15,ADWIN3,DDM1,SeqDrift28
PH15,ADWIN5,DDM9,SeqDrift29
PH15,ADWIN5,DDM8,SeqDrift29
PH12,ADWIN6,DDM8,SeqDrift28
PH12,ADWIN7,DDM4,SeqDrift29
PH13,ADWIN2,DDM4,SeqDrift217
PH10,ADWIN1,DDM4,SeqDrift210
PH10,ADWIN2,DDM4,SeqDrift210
PH10,ADWIN1,DDM4,SeqDrift21
PH1,ADWIN9,DDM1,SeqDrift21
PH11,ADWIN8,DDM6,SeqDrift218
PH11,ADWIN7,DDM6,SeqDrift218
PH11,ADWIN7,DDM1,SeqDrift218
PH15,ADWIN5,DDM9,SeqDrift218
PH15,ADWIN5,DDM8,SeqDrift218
PH12,ADWIN7,DDM8,SeqDrift218
PH12,ADWIN6,DDM4,SeqDrift218
PH13,ADWIN4,DDM4,SeqDrift216
PH10,ADWIN1,DDM4,SeqDrift210
PH2,ADWIN1,DDM4,SeqDrift210
PH10,ADWIN2,DDM3,SeqDrift210
PH2,ADWIN1,DDM6,SeqDrift218
PH11,ADWIN5,DDM9,SeqDrift218
PH11,ADWIN4,DDM9,SeqDrift218
PH9,ADWIN1,DDM1,SeqDrift218
PH15,ADWIN1,DDM1,SeqDrift210
PH12,ADWIN9,DDM4,SeqDrift210
PH8,ADWIN9,DDM8,SeqDrift29
PH16,ADWIN8,DDM4,SeqDrift218
PH10,ADWIN3,DDM4,SeqDrift217
PH2,ADWIN1,DDM4,SeqDrift210
PH10,ADWIN2,DDM4,SeqDrift211
PH10,ADWIN1,DDM3,SeqDrift211
